Clave,Nombre,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/
20446,Santa María Yucuhiti,5,0,0,0,5,934,5,0,0,ND,39,ND,ND,0,0,0,5,0,0,0,5,934,5,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,5,934,5,ND,ND,1521,46,ND,ND,0,0,0,5,0,0,0,6,ND,6,0,0,1645,46,ND,ND,0,0,0,ND,ND,ND,ND,6,934,6,ND,ND,1681,46,ND,ND,0,0,0,5,ND,ND,ND,6,934,6,ND,ND,1797,46,ND,ND,0,0,0
20447,Santa María Zacatepec,15,0,0,0,15,2377,15,1,1,ND,29,ND,ND,0,0,0,15,0,0,0,15,2377,15,1,1,ND,ND,ND,ND,0,0,0,ND,0,0,0,16,2377,16,1,1,3308,31,ND,ND,0,0,0,15,0,0,0,16,2377,16,1,1,4401,31,ND,ND,0,0,0,ND,ND,ND,ND,17,2377,17,1,1,4537,31,ND,ND,0,0,0,15,ND,ND,ND,17,2377,17,1,1,4703,31,ND,ND,0,0,0
20448,Santa María Zaniza,0,0,0,0,0,0,0,0,0,ND,5,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,ND,2,ND,ND,286,6,ND,ND,0,0,0,0,0,0,0,2,ND,2,0,0,286,6,ND,ND,0,0,0,ND,ND,ND,ND,2,ND,2,ND,ND,306,6,ND,ND,0,0,0,0,ND,ND,ND,2,ND,2,ND,ND,312,6,ND,ND,0,0,0
20449,Santa María Zoquitlán,1,0,0,0,1,584,1,0,0,ND,24,ND,ND,0,0,0,1,0,0,0,1,584,1,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,1,584,1,ND,ND,1171,23,ND,ND,0,0,0,1,0,0,0,1,584,1,0,0,1219,23,ND,ND,0,0,0,ND,ND,ND,ND,1,584,1,ND,ND,1296,23,ND,ND,0,0,0,1,ND,ND,ND,1,584,1,ND,ND,1327,23,ND,ND,0,0,0
20450,Santiago Amoltepec,1,0,0,0,0,0,0,0,0,ND,12,ND,ND,0,0,0,3,0,0,0,0,0,0,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,ND,ND,ND,ND,ND,1277,22,ND,ND,0,0,0,1,0,0,0,0,0,0,0,0,1381,22,ND,ND,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,1575,23,ND,ND,0,0,0,3,ND,ND,ND,ND,ND,ND,ND,ND,1847,29,ND,ND,0,0,0
20451,Santiago Apoala,3,0,0,0,3,92,3,2,2,ND,6,ND,ND,0,0,0,3,0,0,0,3,92,3,3,3,ND,ND,ND,ND,0,0,0,ND,0,0,0,3,92,3,3,3,353,7,ND,ND,0,0,0,3,0,0,0,3,92,3,3,3,366,7,ND,ND,0,0,0,ND,ND,ND,ND,3,92,3,3,3,380,7,ND,ND,0,0,0,4,ND,ND,ND,3,92,3,3,3,406,7,ND,ND,0,0,0
20452,Santiago Apóstol,2,0,0,0,2,860,2,1,1,ND,3,ND,ND,0,0,0,2,0,0,0,2,860,2,1,1,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,860,2,1,1,1579,5,ND,ND,0,0,0,2,0,0,0,2,860,2,1,1,1620,5,ND,ND,0,0,0,ND,ND,ND,ND,2,860,2,1,1,1669,5,ND,ND,0,0,0,2,ND,ND,ND,2,860,2,1,1,1697,5,ND,ND,0,0,0
20453,Santiago Astata,2,0,0,0,1,535,1,0,0,ND,5,ND,ND,0,0,0,3,0,0,0,1,535,1,1,1,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,535,2,1,1,1109,7,ND,ND,0,0,0,2,0,0,0,2,535,2,2,2,1137,7,ND,ND,0,0,0,ND,ND,ND,ND,2,535,2,2,2,1182,7,ND,ND,0,0,0,2,ND,ND,ND,2,535,2,2,2,1213,7,ND,ND,0,0,0
20454,Santiago Atitlán,2,0,0,0,2,216,2,0,0,ND,7,ND,ND,0,0,0,2,0,0,0,2,216,2,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,216,2,ND,ND,500,8,ND,ND,0,0,0,2,0,0,0,2,216,2,0,0,505,8,ND,ND,0,0,0,ND,ND,ND,ND,2,216,2,ND,ND,518,8,ND,ND,0,0,0,2,ND,ND,ND,2,216,2,ND,ND,550,8,ND,ND,0,0,0
20455,Santiago Ayuquililla,2,0,0,0,2,238,2,0,0,ND,6,ND,ND,0,0,0,2,0,0,0,2,238,2,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,238,2,ND,ND,648,5,ND,ND,0,0,0,2,0,0,0,2,238,2,0,0,669,5,ND,ND,0,0,0,ND,ND,ND,ND,2,238,2,ND,ND,731,5,ND,ND,0,0,0,2,ND,ND,ND,2,238,2,ND,ND,763,5,ND,ND,0,0,0
20456,Santiago Cacaloxtepec,4,0,0,0,3,258,3,0,0,ND,2,ND,ND,0,0,0,4,0,0,0,3,258,3,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,3,258,3,ND,ND,663,2,ND,ND,0,0,0,4,0,0,0,3,258,3,0,0,707,2,ND,ND,0,0,0,ND,ND,ND,ND,3,258,3,ND,ND,723,2,ND,ND,0,0,0,4,ND,ND,ND,3,258,3,ND,ND,744,2,ND,ND,0,0,0
20457,Santiago Camotlán,3,0,0,0,3,460,3,1,1,ND,8,ND,ND,0,0,0,3,0,0,0,3,460,3,1,1,ND,ND,ND,ND,0,0,0,ND,0,0,0,3,460,3,1,1,358,8,ND,ND,0,0,0,3,0,0,0,3,460,3,1,1,227,8,ND,ND,0,0,0,ND,ND,ND,ND,3,460,3,1,1,230,8,ND,ND,0,0,0,3,ND,ND,ND,3,460,3,1,1,229,8,ND,ND,0,0,0
20458,Santiago Comaltepec,2,0,0,0,2,357,2,0,0,ND,8,ND,ND,0,0,0,2,0,0,0,2,357,2,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,357,2,ND,ND,500,6,ND,ND,0,0,0,2,0,0,0,2,357,2,0,0,501,6,ND,ND,0,0,0,ND,ND,ND,ND,2,357,2,ND,ND,502,6,ND,ND,0,0,0,2,ND,ND,ND,2,357,2,ND,ND,501,6,ND,ND,0,0,0
20459,Santiago Chazumba,11,0,0,0,10,960,10,1,1,ND,23,ND,ND,0,0,0,11,0,0,0,10,960,10,1,1,ND,ND,ND,ND,0,0,0,ND,0,0,0,10,960,10,1,1,2011,23,ND,ND,0,0,0,11,0,0,0,10,960,10,1,1,2046,23,ND,ND,0,0,0,ND,ND,ND,ND,10,960,10,1,1,2092,23,ND,ND,0,0,0,11,ND,ND,ND,10,960,10,1,1,2142,23,ND,ND,0,0,0
20460,Santiago Choápam,2,0,0,0,2,484,2,2,2,ND,8,ND,ND,0,0,0,2,0,0,0,2,484,2,2,2,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,484,2,2,2,1300,11,ND,ND,0,0,0,2,0,0,0,2,484,2,2,2,1086,11,ND,ND,0,0,0,ND,ND,ND,ND,2,484,2,2,2,836,11,ND,ND,0,0,0,2,ND,ND,ND,2,484,2,2,2,995,13,ND,ND,0,0,0
20461,Santiago del Río,2,0,0,0,2,55,2,2,2,ND,3,ND,ND,0,0,0,2,0,0,0,2,55,2,3,3,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,55,2,3,3,369,6,ND,ND,0,0,0,2,0,0,0,2,55,2,3,3,373,6,ND,ND,0,0,0,ND,ND,ND,ND,2,55,2,3,3,380,6,ND,ND,0,0,0,2,ND,ND,ND,2,55,2,3,3,395,6,ND,ND,0,0,0
20462,Santiago Huajolotitlán,7,0,0,0,7,798,7,0,0,ND,14,ND,ND,0,0,0,7,0,0,0,7,798,7,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,7,798,7,ND,ND,1434,16,ND,ND,0,0,0,7,0,0,0,7,798,7,0,0,1505,16,ND,ND,0,0,0,ND,ND,ND,ND,7,798,7,ND,ND,1524,16,ND,ND,0,0,0,7,ND,ND,ND,7,798,7,ND,ND,1552,16,ND,ND,0,0,0
20463,Santiago Huauclilla,3,0,0,0,2,193,2,0,0,ND,15,ND,ND,0,0,0,3,0,0,0,2,193,2,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,193,2,ND,ND,320,14,ND,ND,0,0,0,3,0,0,0,2,193,2,0,0,321,14,ND,ND,0,0,0,ND,ND,ND,ND,2,193,2,ND,ND,324,14,ND,ND,0,0,0,3,ND,ND,ND,2,193,2,ND,ND,328,14,ND,ND,0,0,0
20464,Santiago Ihuitlán Plumas,2,0,0,0,2,126,2,0,0,ND,4,ND,ND,1,1,0,2,0,0,0,2,126,2,0,0,ND,ND,ND,ND,1,1,0,ND,0,0,0,2,126,2,ND,ND,274,4,ND,ND,1,1,0,2,0,0,0,2,126,2,0,0,276,4,ND,ND,1,1,0,ND,ND,ND,ND,2,126,2,ND,ND,286,4,ND,ND,1,1,0,2,ND,ND,ND,2,126,2,ND,ND,285,4,ND,ND,1,1,0
20465,Santiago Ixcuintepec,1,0,0,0,1,175,1,0,0,ND,4,ND,ND,0,0,0,1,0,0,0,1,175,1,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,175,2,ND,ND,308,4,ND,ND,0,0,0,1,0,0,0,2,175,2,0,0,340,4,ND,ND,0,0,0,ND,ND,ND,ND,2,175,2,ND,ND,346,4,ND,ND,0,0,0,1,ND,ND,ND,3,175,3,ND,ND,349,4,ND,ND,0,0,0
20466,Santiago Ixtayutla,3,0,0,0,3,461,3,1,1,ND,21,ND,ND,0,0,0,14,0,0,0,3,461,3,1,1,ND,ND,ND,ND,0,0,0,ND,0,0,0,4,461,4,1,1,1869,26,ND,ND,0,0,0,3,0,0,0,4,461,4,1,1,1959,26,ND,ND,0,0,0,ND,ND,ND,ND,4,461,4,1,1,2032,26,ND,ND,0,0,0,3,ND,ND,ND,4,461,4,1,1,2156,28,ND,ND,0,0,0
20467,Santiago Jamiltepec,12,0,0,0,12,1695,12,1,1,ND,33,ND,ND,0,0,0,12,0,0,0,12,1695,12,1,1,ND,ND,ND,ND,0,0,0,ND,0,0,0,13,1695,13,2,2,4470,35,ND,ND,0,0,0,12,0,0,0,13,1695,13,2,2,5650,35,ND,ND,0,0,0,ND,ND,ND,ND,13,1695,13,2,2,5811,35,ND,ND,0,0,0,12,ND,ND,ND,13,1695,13,2,2,5882,35,ND,ND,0,0,0
20468,Santiago Jocotepec,1,0,0,0,0,0,0,0,0,ND,22,ND,ND,0,0,0,2,0,0,0,0,0,0,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,1,ND,1,ND,ND,2045,31,ND,ND,0,0,0,1,0,0,0,1,ND,1,0,0,2134,31,ND,ND,0,0,0,ND,ND,ND,ND,2,ND,2,ND,ND,2132,31,ND,ND,0,0,0,1,ND,ND,ND,2,ND,2,ND,ND,2255,31,ND,ND,0,0,0
20469,Santiago Juxtlahuaca,33,0,0,0,30,3634,30,1,1,ND,67,ND,ND,0,0,0,33,0,0,0,30,3634,30,4,4,ND,ND,ND,ND,0,0,0,ND,0,0,0,30,3634,30,4,4,8298,67,ND,ND,0,0,0,33,0,0,0,30,3634,30,4,4,8507,67,ND,ND,0,0,0,ND,ND,ND,ND,30,3634,30,4,4,8807,67,ND,ND,0,0,0,33,ND,ND,ND,30,3634,30,4,4,9232,67,ND,ND,0,0,0
20470,Santiago Lachiguiri,10,0,0,0,10,977,10,0,0,ND,22,ND,ND,0,0,0,10,0,0,0,10,977,10,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,13,977,13,ND,ND,1274,24,ND,ND,0,0,0,10,0,0,0,13,977,13,0,0,1379,24,ND,ND,0,0,0,ND,ND,ND,ND,13,977,13,ND,ND,1410,25,ND,ND,0,0,0,10,ND,ND,ND,13,977,13,ND,ND,1444,25,ND,ND,0,0,0
20471,Santiago Lalopa,0,0,0,0,0,0,0,0,0,ND,2,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,ND,ND,ND,ND,ND,214,2,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,218,2,ND,ND,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,225,2,ND,ND,0,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,226,2,ND,ND,0,0,0
20472,Santiago Laollaga,3,0,0,0,2,609,2,0,0,ND,4,ND,ND,0,0,0,4,0,0,0,2,609,2,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,609,2,ND,ND,979,6,ND,ND,0,0,0,3,0,0,0,2,609,2,1,1,1002,6,ND,ND,0,0,0,ND,ND,ND,ND,2,609,2,2,2,1036,6,ND,ND,0,0,0,3,ND,ND,ND,2,609,2,2,2,1073,6,ND,ND,0,0,0
20473,Santiago Laxopa,3,0,0,0,3,348,3,0,0,ND,4,ND,ND,0,0,0,3,0,0,0,3,348,3,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,3,348,3,ND,ND,474,5,ND,ND,0,0,0,3,0,0,0,3,348,3,0,0,474,5,ND,ND,0,0,0,ND,ND,ND,ND,3,348,3,ND,ND,479,5,ND,ND,0,0,0,3,ND,ND,ND,3,348,3,ND,ND,495,5,ND,ND,0,0,0
20474,Santiago Llano Grande,3,0,0,0,3,509,3,0,0,ND,5,ND,ND,0,0,0,3,0,0,0,3,509,3,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,3,509,3,ND,ND,833,6,ND,ND,0,0,0,3,0,0,0,3,509,3,0,0,875,6,ND,ND,0,0,0,ND,ND,ND,ND,3,509,3,ND,ND,935,6,ND,ND,0,0,0,3,ND,ND,ND,3,509,3,ND,ND,985,6,ND,ND,0,0,0
20475,Santiago Matatlán,3,0,0,0,3,873,3,1,1,ND,18,ND,ND,1,1,ND,3,0,0,0,3,873,3,1,1,ND,ND,ND,ND,1,1,ND,ND,0,0,0,3,873,3,2,2,2688,19,ND,ND,1,1,ND,3,0,0,0,3,873,3,2,2,2815,19,ND,ND,1,1,ND,ND,ND,ND,ND,3,873,3,2,2,2913,19,ND,ND,1,1,ND,3,ND,ND,ND,3,873,3,2,2,3013,19,ND,ND,1,1,ND
20476,Santiago Miltepec,1,0,0,0,1,96,1,0,0,ND,2,ND,ND,0,0,0,1,0,0,0,1,96,1,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,1,96,1,ND,ND,193,2,ND,ND,0,0,0,1,0,0,0,1,96,1,0,0,197,2,ND,ND,0,0,0,ND,ND,ND,ND,1,96,1,ND,ND,195,2,ND,ND,0,0,0,1,ND,ND,ND,1,96,1,ND,ND,198,2,ND,ND,0,0,0
20477,Santiago Minas,3,0,0,0,2,190,2,0,0,ND,9,ND,ND,0,0,0,3,0,0,0,2,190,2,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,190,2,ND,ND,293,9,ND,ND,0,0,0,3,0,0,0,2,190,2,0,0,369,9,ND,ND,0,0,0,ND,ND,ND,ND,2,190,2,ND,ND,367,9,ND,ND,0,0,0,3,ND,ND,ND,2,190,2,ND,ND,371,9,ND,ND,0,0,0
20478,Santiago Nacaltepec,5,0,0,0,5,607,5,0,0,ND,12,ND,ND,0,0,0,5,0,0,0,5,607,5,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,5,607,5,ND,ND,799,12,ND,ND,0,0,0,5,0,0,0,5,607,5,0,0,808,12,ND,ND,0,0,0,ND,ND,ND,ND,5,607,5,ND,ND,804,12,ND,ND,0,0,0,5,ND,ND,ND,5,607,5,ND,ND,813,12,ND,ND,0,0,0
20479,Santiago Nejapilla,1,0,0,0,1,84,1,0,0,ND,5,ND,ND,0,0,0,1,0,0,0,1,84,1,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,1,84,1,ND,ND,139,3,ND,ND,0,0,0,1,0,0,0,1,84,1,0,0,143,3,ND,ND,0,0,0,ND,ND,ND,ND,1,84,1,ND,ND,151,3,ND,ND,0,0,0,1,ND,ND,ND,1,84,1,ND,ND,153,3,ND,ND,0,0,0
20480,Santiago Nundiche,12,0,0,0,12,83,12,0,0,ND,14,ND,ND,0,0,0,12,0,0,0,12,83,12,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,15,83,15,ND,ND,215,14,ND,ND,0,0,0,12,0,0,0,15,83,15,1,1,222,14,ND,ND,0,0,0,ND,ND,ND,ND,15,83,15,1,1,225,14,ND,ND,0,0,0,12,ND,ND,ND,15,83,15,1,1,236,14,ND,ND,0,0,0
20481,Santiago Nuyoó,1,0,0,0,1,519,1,0,0,ND,18,ND,ND,0,0,0,1,0,0,0,1,519,1,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,1,519,1,ND,ND,728,16,ND,ND,0,0,0,1,0,0,0,1,519,1,0,0,524,16,ND,ND,0,0,0,ND,ND,ND,ND,1,519,1,ND,ND,526,16,ND,ND,0,0,0,1,ND,ND,ND,1,519,1,ND,ND,574,16,ND,ND,0,0,0
20482,Santiago Pinotepa Nacional,14,0,0,0,14,4050,14,3,3,ND,70,ND,ND,0,0,0,14,0,0,0,14,3993,14,4,4,ND,ND,ND,ND,0,0,0,ND,0,0,0,14,4086,14,6,6,12355,78,ND,ND,0,0,0,14,0,0,0,14,4086,14,6,6,15773,78,ND,ND,0,0,0,ND,ND,ND,ND,14,4265,14,6,6,16004,78,ND,ND,0,0,0,14,ND,ND,ND,14,4265,14,6,6,16371,78,ND,ND,0,0,0
20483,Santiago Suchilquitongo,3,0,0,0,2,445,2,1,1,ND,7,ND,ND,0,0,0,3,0,0,0,2,445,2,1,1,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,445,2,1,1,2416,6,ND,ND,0,0,0,3,0,0,0,2,445,2,1,1,2506,6,ND,ND,0,0,0,ND,ND,ND,ND,2,445,2,1,1,2581,6,ND,ND,0,0,0,3,ND,ND,ND,2,445,2,1,1,2676,6,ND,ND,0,0,0
20484,Santiago Tamazola,4,0,0,0,4,405,4,0,0,ND,5,ND,ND,0,0,0,4,0,0,0,4,405,4,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,4,405,4,ND,ND,1289,5,ND,ND,0,0,0,4,0,0,0,4,405,4,0,0,1327,5,ND,ND,0,0,0,ND,ND,ND,ND,4,405,4,ND,ND,1363,5,ND,ND,0,0,0,4,ND,ND,ND,4,405,4,ND,ND,1372,5,ND,ND,0,0,0
20485,Santiago Tapextla,3,0,0,0,3,428,3,0,0,ND,5,ND,ND,0,0,0,3,0,0,0,3,428,3,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,3,428,3,ND,ND,539,6,ND,ND,0,0,0,3,0,0,0,3,428,3,0,0,582,6,ND,ND,0,0,0,ND,ND,ND,ND,3,428,3,ND,ND,612,6,ND,ND,0,0,0,3,ND,ND,ND,3,428,3,ND,ND,619,6,ND,ND,0,0,0
20486,Villa Tejúpam de la Unión,2,0,0,0,2,416,2,0,0,ND,11,ND,ND,1,1,0,2,0,0,0,2,416,2,0,0,ND,ND,ND,ND,1,1,0,ND,0,0,0,2,416,2,ND,ND,893,13,ND,ND,1,1,0,2,0,0,0,3,ND,3,0,0,923,13,ND,ND,1,1,0,ND,ND,ND,ND,3,416,3,ND,ND,937,13,ND,ND,1,1,0,2,ND,ND,ND,3,416,3,ND,ND,968,13,ND,ND,1,1,0
20487,Santiago Tenango,1,0,0,0,1,135,1,0,0,ND,13,ND,ND,0,0,0,1,0,0,0,1,135,1,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,1,135,1,ND,ND,544,14,ND,ND,0,0,0,1,0,0,0,1,135,1,0,0,579,14,ND,ND,0,0,0,ND,ND,ND,ND,2,135,2,ND,ND,590,14,ND,ND,0,0,0,1,ND,ND,ND,2,135,2,ND,ND,605,14,ND,ND,0,0,0
20488,Santiago Tepetlapa,2,0,0,0,2,43,2,0,0,ND,2,ND,ND,0,0,0,2,0,0,0,2,43,2,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,43,2,ND,ND,77,4,ND,ND,0,0,0,2,0,0,0,2,43,2,0,0,79,4,ND,ND,0,0,0,ND,ND,ND,ND,2,43,2,ND,ND,77,4,ND,ND,0,0,0,2,ND,ND,ND,2,43,2,ND,ND,78,4,ND,ND,0,0,0
20489,Santiago Tetepec,6,0,0,0,6,499,6,0,0,ND,13,ND,ND,0,0,0,6,0,0,0,6,499,6,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,6,499,6,ND,ND,1111,13,ND,ND,0,0,0,6,0,0,0,6,499,6,0,0,1142,13,ND,ND,0,0,0,ND,ND,ND,ND,6,499,6,ND,ND,1163,13,ND,ND,0,0,0,6,ND,ND,ND,6,499,6,ND,ND,1174,13,ND,ND,0,0,0
20490,Santiago Texcalcingo,2,0,0,0,2,336,2,0,0,ND,7,ND,ND,0,0,0,2,0,0,0,2,336,2,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,336,2,ND,ND,614,9,ND,ND,0,0,0,2,0,0,0,2,336,2,0,0,654,9,ND,ND,0,0,0,ND,ND,ND,ND,2,336,2,ND,ND,694,9,ND,ND,0,0,0,2,ND,ND,ND,2,336,2,ND,ND,727,9,ND,ND,0,0,0
20491,Santiago Textitlán,11,0,0,0,10,454,10,0,0,ND,13,ND,ND,0,0,0,12,0,0,0,10,454,10,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,11,454,11,ND,ND,1054,12,ND,ND,0,0,0,11,0,0,0,11,454,11,0,0,1086,12,ND,ND,0,0,0,ND,ND,ND,ND,11,454,11,ND,ND,1114,12,ND,ND,0,0,0,11,ND,ND,ND,11,454,11,ND,ND,1129,12,ND,ND,0,0,0
20492,Santiago Tilantongo,9,0,0,0,7,341,7,0,0,ND,21,ND,ND,0,0,0,9,0,0,0,7,341,7,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,8,341,8,ND,ND,1032,21,ND,ND,0,0,0,9,0,0,0,8,341,8,0,0,1056,21,ND,ND,0,0,0,ND,ND,ND,ND,8,341,8,ND,ND,1074,21,ND,ND,0,0,0,9,ND,ND,ND,8,341,8,ND,ND,1090,21,ND,ND,0,0,0
20493,Santiago Tillo,2,0,0,0,2,137,2,0,0,ND,5,ND,ND,0,0,0,2,0,0,0,2,137,2,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,137,2,ND,ND,355,4,ND,ND,0,0,0,2,0,0,0,2,137,2,0,0,461,4,ND,ND,0,0,0,ND,ND,ND,ND,2,137,2,ND,ND,464,4,ND,ND,0,0,0,2,ND,ND,ND,2,137,2,ND,ND,468,4,ND,ND,0,0,0
20494,Santiago Tlazoyaltepec,6,0,0,0,6,91,6,0,0,ND,40,ND,ND,0,0,0,6,0,0,0,6,91,6,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,6,91,6,ND,ND,498,47,ND,ND,0,0,0,6,0,0,0,6,91,6,0,0,852,47,ND,ND,0,0,0,ND,ND,ND,ND,6,91,6,ND,ND,885,47,ND,ND,0,0,0,6,ND,ND,ND,6,91,6,ND,ND,972,47,ND,ND,0,0,0
20495,Santiago Xanica,1,0,0,0,0,0,0,0,0,ND,10,ND,ND,0,0,0,2,0,0,0,0,0,0,0,0,ND,ND,ND,ND,0,0,0,ND,0,0,0,2,ND,2,ND,ND,384,14,ND,ND,0,0,0,1,0,0,0,2,ND,2,0,0,457,14,ND,ND,0,0,0,ND,ND,ND,ND,2,ND,2,ND,ND,531,14,ND,ND,0,0,0,1,ND,ND,ND,2,ND,2,ND,ND,570,14,ND,ND,0,0,0
