Clave,Nombre,Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos)
20286,San Miguel Tlacotepec,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,1065,742,847,0,0,ND,578,1082,756,903,0,0,ND,0,1102,844,1040,0,0,ND,500,1150,911,1185,0,0,ND,ND
20287,San Miguel Tulancingo,ND,ND,ND,0,0,0,592,ND,ND,ND,0,0,ND,0,217,122,181,0,0,ND,0,214,135,199,0,0,ND,0,216,132,203,0,0,ND,0,224,151,243,0,0,ND,ND
20288,San Miguel Yotao,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,303,170,174,0,0,ND,0,309,176,183,0,0,ND,0,313,192,205,0,0,ND,0,329,208,239,0,0,ND,ND
20289,San Nicolás,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,497,293,317,0,0,ND,0,499,308,350,0,0,ND,0,500,342,394,0,0,ND,0,517,332,396,0,0,ND,ND
20290,San Nicolás Hidalgo,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,317,387,442,0,0,ND,332,327,397,461,0,0,ND,0,334,435,527,0,0,ND,0,336,426,553,0,0,ND,ND
20291,San Pablo Coatlán,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,1083,627,712,0,0,ND,0,1127,693,858,0,0,ND,56,1133,706,867,0,0,ND,0,1155,760,977,0,0,ND,ND
20292,San Pablo Cuatro Venados,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,154,105,134,0,0,ND,0,161,131,179,0,0,ND,0,162,129,185,0,0,ND,0,169,136,202,0,0,ND,ND
20293,San Pablo Etla,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,7653,14989,18891,0,0,ND,0,8031,21145,29069,0,0,ND,410,8302,16016,21665,0,0,ND,0,8561,16396,24065,0,0,ND,ND
20294,San Pablo Huitzo,ND,ND,ND,0,1,ND,0,ND,ND,ND,0,1,ND,0,1982,3254,4492,0,1,ND,492,2063,3231,4444,0,1,ND,158,2104,3327,4345,0,1,ND,0,2171,3316,4649,0,1,ND,ND
20295,San Pablo Huixtepec,ND,ND,ND,0,1,ND,0,ND,ND,ND,0,1,ND,255,2857,6306,5789,0,1,ND,0,2957,6358,6858,0,1,ND,0,3068,6976,7077,0,1,ND,382,3214,6615,7433,0,1,ND,ND
20296,San Pablo Macuiltianguis,ND,ND,ND,0,0,0,221,ND,ND,ND,0,0,ND,0,518,379,513,0,0,ND,0,519,407,610,0,0,ND,0,517,420,660,0,0,ND,0,516,447,758,0,0,ND,ND
20297,San Pablo Tijaltepec,ND,ND,ND,0,0,0,2240,ND,ND,ND,0,0,ND,234,378,208,284,0,0,ND,1290,409,265,358,0,0,ND,3209,491,266,368,0,0,ND,1149,534,306,424,0,0,ND,ND
20298,San Pablo Villa de Mitla,ND,ND,ND,0,1,ND,0,ND,ND,ND,0,1,ND,727,3840,4563,5958,0,1,ND,1194,3951,4819,6952,0,1,ND,1142,4115,4967,7028,0,1,ND,0,4204,5190,7765,0,1,ND,ND
20299,San Pablo Yaganiza,ND,ND,ND,0,0,0,94,ND,ND,ND,0,0,ND,0,318,287,352,0,0,ND,0,327,273,333,0,0,ND,0,327,287,347,0,0,ND,0,344,309,411,0,0,ND,ND
20300,San Pedro Amuzgos,ND,ND,ND,0,1,ND,0,ND,ND,ND,0,1,ND,0,1634,1095,1753,0,1,ND,0,1674,1927,2142,0,1,ND,260,1753,1994,2363,0,1,ND,562,1837,2047,2484,0,1,ND,ND
20301,San Pedro Apóstol,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,792,758,864,0,0,ND,0,799,720,872,0,0,ND,0,808,782,962,0,0,ND,0,820,842,1124,0,0,ND,ND
20302,San Pedro Atoyac,ND,ND,ND,0,0,0,157,ND,ND,ND,0,0,ND,0,779,897,879,0,0,ND,1016,833,1008,1061,0,0,ND,843,888,1135,1292,0,0,ND,0,925,1136,1301,0,0,ND,ND
20303,San Pedro Cajonos,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,493,359,402,0,0,ND,0,500,389,455,0,0,ND,0,506,335,414,0,0,ND,0,511,400,508,0,0,ND,ND
20304,San Pedro Coxcaltepec Cántaros,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,152,109,158,0,0,ND,0,158,104,156,0,0,ND,0,162,98,153,0,0,ND,1575,164,110,177,0,0,ND,ND
20305,San Pedro Comitancillo,ND,ND,ND,0,0,0,156,ND,ND,ND,0,0,ND,0,1310,2550,3305,0,0,ND,650,1354,2528,3211,0,0,ND,0,1398,2667,3232,0,0,ND,0,1433,2510,2861,0,0,ND,ND
20306,San Pedro el Alto,ND,ND,ND,0,0,0,1384,ND,ND,ND,0,0,ND,1135,561,306,340,0,0,ND,568,606,371,455,0,0,ND,278,653,356,389,0,0,ND,0,708,390,435,0,0,ND,ND
20307,San Pedro Huamelula,ND,ND,ND,0,0,0,89,ND,ND,ND,0,0,ND,276,2828,3814,3914,0,0,ND,0,2867,3162,3265,0,0,ND,130,2956,3552,3648,0,0,ND,2100,3007,3767,4075,0,0,ND,ND
20308,San Pedro Huilotepec,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,616,1524,1974,0,0,ND,0,634,1392,1997,0,0,ND,0,666,1610,2164,0,0,ND,0,701,1675,2278,0,0,ND,ND
20309,San Pedro Ixcatlán,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,2165,2391,1832,0,0,ND,0,2657,2078,2390,0,0,ND,0,2135,2561,3189,0,0,ND,0,2218,1891,2265,0,0,ND,ND
20310,San Pedro Ixtlahuaca,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,1393,1339,1599,2004,0,0,ND,0,1521,1817,2430,0,0,ND,1236,1645,2218,2847,0,0,ND,0,1612,2095,2742,0,0,ND,ND
20311,San Pedro Jaltepetongo,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,168,83,107,0,0,ND,0,173,90,116,0,0,ND,0,181,96,120,0,0,ND,0,182,108,133,0,0,ND,ND
20312,San Pedro Jicayán,ND,ND,ND,0,0,0,1012,ND,ND,ND,0,0,ND,796,2092,2275,2240,0,0,ND,913,2192,2485,2609,0,0,ND,0,2308,2849,3419,0,0,ND,0,2357,2858,3459,0,0,ND,ND
20313,San Pedro Jocotipac,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,266,194,240,0,0,ND,0,274,218,280,0,0,ND,0,287,211,268,0,0,ND,0,296,237,320,0,0,ND,ND
20314,San Pedro Juchatengo,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,515,563,780,0,0,ND,683,545,649,925,0,0,ND,0,555,653,912,0,0,ND,0,581,955,1349,0,0,ND,ND
20315,San Pedro Mártir,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,742,511,450,0,0,ND,0,758,524,496,0,0,ND,1507,766,571,547,0,0,ND,0,784,541,548,0,0,ND,ND
20316,San Pedro Mártir Quiechapa,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,1380,237,201,233,0,0,ND,887,249,256,301,0,0,ND,0,250,258,364,0,0,ND,0,254,265,400,0,0,ND,ND
20317,San Pedro Mártir Yucuxaco,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,494,294,381,0,0,ND,169,504,296,394,0,0,ND,0,507,317,448,0,0,ND,2141,529,316,477,0,0,ND,ND
20318,San Pedro Mixtepec -Dto. 22 -,ND,ND,ND,0,1,ND,483,ND,ND,ND,0,0,ND,1190,14854,34741,66180,0,1,ND,1568,18157,48037,77445,0,1,ND,1002,18722,47924,72697,0,1,ND,3085,18462,48614,76797,0,1,ND,ND
20319,San Pedro Mixtepec -Dto. 26 -,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,152,287,158,197,0,0,ND,0,288,203,266,0,0,ND,0,287,205,270,0,0,ND,0,287,224,311,0,0,ND,ND
20320,San Pedro Molinos,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,255,160,217,0,0,ND,0,260,176,232,0,0,ND,0,268,160,206,0,0,ND,0,273,177,233,0,0,ND,ND
20321,San Pedro Nopala,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,246,158,188,0,0,ND,0,255,137,177,0,0,ND,0,256,159,201,0,0,ND,0,251,172,228,0,0,ND,ND
20322,San Pedro Ocopetatillo,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,272,204,172,225,0,0,ND,0,207,195,279,0,0,ND,0,215,218,312,0,0,ND,840,224,270,452,0,0,ND,ND
20323,San Pedro Ocotepec,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,427,1394,299,0,0,ND,0,435,321,392,0,0,ND,4556,437,345,454,0,0,ND,0,440,325,417,0,0,ND,ND
20324,San Pedro Pochutla,ND,ND,ND,0,1,ND,472,ND,ND,ND,0,1,ND,2898,9554,16447,29617,0,1,ND,6478,11971,23066,34060,0,1,ND,2224,12464,24701,34951,0,1,ND,3695,13044,25968,39271,0,1,ND,ND
20325,San Pedro Quiatoni,ND,ND,ND,0,0,0,787,ND,ND,ND,0,0,ND,1031,2052,1552,1749,0,0,ND,0,2116,1646,1923,0,0,ND,0,2190,1760,2048,0,0,ND,1983,2349,1845,2218,0,0,ND,ND
20326,San Pedro Sochiápam,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,823,424,383,0,0,ND,0,865,475,419,0,0,ND,0,893,553,502,0,0,ND,0,924,634,633,0,0,ND,ND
20327,San Pedro Tapanatepec,ND,ND,ND,0,0,0,213,ND,ND,ND,0,0,ND,675,4167,9195,10987,0,0,ND,2349,4322,9306,12082,0,0,ND,523,4429,10339,13119,0,0,ND,670,4556,10338,14203,0,0,ND,ND
20328,San Pedro Taviche,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,191,130,135,0,0,ND,0,202,141,148,0,0,ND,0,206,150,162,0,0,ND,0,221,129,146,0,0,ND,ND
20329,San Pedro Teozacoalco,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,256,214,291,0,0,ND,0,260,216,301,0,0,ND,0,268,230,321,0,0,ND,0,274,250,365,0,0,ND,ND
20330,San Pedro Teutila,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,728,602,454,0,0,ND,0,754,546,510,0,0,ND,0,768,649,672,0,0,ND,0,807,760,903,0,0,ND,ND
20331,San Pedro Tidaá,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,390,268,363,0,0,ND,0,394,279,396,0,0,ND,0,410,309,459,0,0,ND,0,422,311,473,0,0,ND,ND
20332,San Pedro Topiltepec,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,153,62,84,0,0,ND,0,151,63,85,0,0,ND,0,156,64,91,0,0,ND,0,157,66,100,0,0,ND,ND
20333,San Pedro Totolápam,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,330,942,1264,1925,0,0,ND,0,945,1483,2117,0,0,ND,0,995,1711,2419,0,0,ND,0,1023,2022,3454,0,0,ND,ND
20334,Villa de Tututepec de Melchor Ocampo,ND,ND,ND,0,1,ND,4398,ND,ND,ND,0,1,ND,1458,9890,1491,23707,0,1,ND,2452,13128,23089,26675,0,1,ND,0,13821,23771,27529,0,1,ND,1243,14162,24951,31165,0,1,ND,ND
20335,San Pedro Yaneri,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,296,145,171,0,0,ND,0,304,144,175,0,0,ND,0,313,211,238,0,0,ND,0,323,175,217,0,0,ND,ND
20336,San Pedro Yólox,ND,ND,ND,0,0,0,292,ND,ND,ND,0,0,ND,0,706,591,687,0,0,ND,0,727,632,793,0,0,ND,626,740,660,833,0,0,ND,0,749,706,924,0,0,ND,ND
20337,San Pedro y San Pablo Ayutla,ND,ND,ND,0,1,ND,434,ND,ND,ND,0,1,ND,0,1758,443,2066,0,1,ND,2873,1541,1394,2176,0,1,ND,0,1599,1556,2418,0,1,ND,0,1646,1568,2541,0,1,ND,ND
20338,Villa de Etla,ND,ND,ND,0,1,ND,0,ND,ND,ND,0,1,ND,0,3783,7212,10498,0,1,ND,0,3493,8283,12856,0,1,ND,0,4089,7207,10891,0,1,ND,0,3930,7673,12356,0,1,ND,ND
20339,San Pedro y San Pablo Teposcolula,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,115,1798,1711,2478,0,0,ND,0,1797,1699,2704,0,0,ND,0,1804,1736,2700,0,0,ND,0,1846,1304,2194,0,0,ND,ND
20340,San Pedro y San Pablo Tequixtepec,ND,ND,ND,0,0,0,100,ND,ND,ND,0,0,ND,0,921,632,764,0,0,ND,0,1061,626,810,0,0,ND,0,1075,633,818,0,0,ND,0,970,626,841,0,0,ND,ND
20341,San Pedro Yucunama,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,139,82,104,0,0,ND,0,145,89,122,0,0,ND,0,145,97,136,0,0,ND,0,148,87,132,0,0,ND,ND
20342,San Raymundo Jalpan,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,538,1068,1266,0,0,ND,0,563,820,1025,0,0,ND,209,577,1765,2427,0,0,ND,0,603,2096,3303,0,0,ND,ND
20343,San Sebastián Abasolo,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,962,1130,982,0,0,ND,675,979,1029,1053,0,0,ND,0,994,1223,1314,0,0,ND,0,1014,1142,1381,0,0,ND,ND
20344,San Sebastián Coatlán,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,285,655,260,300,0,0,ND,100,682,308,376,0,0,ND,0,690,309,381,0,0,ND,0,709,361,464,0,0,ND,ND
20345,San Sebastián Ixcapa,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,1055,1444,1483,0,0,ND,76,1083,1519,1668,0,0,ND,0,1148,1667,2000,0,0,ND,0,1185,1637,1984,0,0,ND,ND
20346,San Sebastián Nicananduta,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,545,393,458,0,0,ND,0,563,374,438,0,0,ND,0,572,385,456,0,0,ND,266,576,389,481,0,0,ND,ND
20347,San Sebastián Río Hondo,ND,ND,ND,0,0,0,868,ND,ND,ND,0,0,ND,0,888,519,561,0,0,ND,3215,940,605,739,0,0,ND,0,952,634,745,0,0,ND,0,985,660,796,0,0,ND,ND
20348,San Sebastián Tecomaxtlahuaca,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,2940,1670,2001,0,0,ND,2462,3001,1857,2398,0,0,ND,0,3061,1909,2425,0,1,ND,0,3132,1976,2588,0,1,ND,ND
20349,San Sebastián Teitipac,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,595,666,767,0,0,ND,0,641,674,823,0,0,ND,0,654,703,861,0,0,ND,0,666,610,782,0,0,ND,ND
20350,San Sebastián Tutla,ND,ND,ND,0,0,0,70,ND,ND,ND,0,0,ND,149,5373,8390,10720,0,0,ND,0,5751,9240,12713,0,0,ND,0,5947,9207,12437,0,0,ND,0,6071,9438,13470,0,0,ND,ND
20351,San Simón Almolongas,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,848,596,624,0,0,ND,0,886,660,783,0,0,ND,384,898,676,739,0,0,ND,1222,895,662,730,0,0,ND,ND
20352,San Simón Zahuatlán,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,400,337,452,500,0,0,ND,528,381,505,601,0,0,ND,545,403,572,705,0,0,ND,485,504,558,703,0,0,ND,ND
20353,Santa Ana,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,507,445,453,0,0,ND,0,525,453,493,0,0,ND,0,532,431,462,0,0,ND,0,559,516,596,0,0,ND,ND
20354,Santa Ana Ateixtlahuaca,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,95,50,53,0,0,ND,0,97,56,68,0,0,ND,0,99,64,83,0,0,ND,594,104,64,76,0,0,ND,ND
20355,Santa Ana Cuauhtémoc,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,179,124,160,0,0,ND,0,184,134,189,0,0,ND,0,192,143,185,0,0,ND,0,196,164,219,0,0,ND,ND
20356,Santa Ana del Valle,ND,ND,ND,0,0,0,313,ND,ND,ND,0,0,ND,160,704,741,865,0,0,ND,0,707,701,849,0,0,ND,0,719,687,846,0,0,ND,0,728,719,927,0,0,ND,ND
20357,Santa Ana Tavela,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,321,376,389,0,0,ND,1633,326,245,323,0,0,ND,0,329,297,359,0,0,ND,0,331,359,466,0,0,ND,ND
20358,Santa Ana Tlapacoyan,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,774,1090,1570,0,0,ND,0,783,1604,2533,0,0,ND,0,790,1276,1789,0,0,ND,0,821,1312,1902,0,0,ND,ND
20359,Santa Ana Yareni,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,409,316,391,0,0,ND,0,415,306,443,0,0,ND,0,413,313,450,0,0,ND,0,422,301,462,0,0,ND,ND
20360,Santa Ana Zegache,ND,ND,ND,0,0,0,951,ND,ND,ND,0,0,ND,524,1001,1136,1148,0,0,ND,200,1050,1094,1161,0,0,ND,0,1075,1141,1189,0,0,ND,230,1120,1110,1239,0,0,ND,ND
20361,Santa Catalina Quierí,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,245,161,225,0,0,ND,0,245,162,240,0,0,ND,0,250,151,220,0,0,ND,0,249,162,247,0,0,ND,ND
20362,Santa Catarina Cuixtla,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,575,395,435,0,0,ND,578,592,413,484,0,0,ND,0,600,420,499,0,0,ND,0,616,428,521,0,0,ND,ND
20363,Santa Catarina Ixtepeji,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,844,865,1248,0,0,ND,0,850,856,1334,0,0,ND,0,870,996,1641,0,0,ND,0,877,906,1543,0,0,ND,ND
20364,Santa Catarina Juquila,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,3803,17059,7309,0,0,ND,0,3922,5054,8141,0,0,ND,0,4136,5214,8264,0,0,ND,0,4316,5528,9202,0,0,ND,ND
20365,Santa Catarina Lachatao,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,612,263,322,0,0,ND,939,629,296,366,0,0,ND,0,647,317,393,0,0,ND,0,658,325,416,0,0,ND,ND
20366,Santa Catarina Loxicha,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,5521,870,451,450,0,0,ND,0,897,472,509,0,0,ND,0,933,562,631,0,0,ND,805,970,538,607,0,0,ND,ND
20367,Santa Catarina Mechoacán,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,869,940,972,0,0,ND,0,895,935,927,0,0,ND,0,907,961,972,0,0,ND,0,975,1040,1079,0,0,ND,ND
20368,Santa Catarina Minas,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,353,524,540,626,0,0,ND,0,544,585,745,0,0,ND,389,572,660,876,0,0,ND,0,586,681,929,0,0,ND,ND
20369,Santa Catarina Quiané,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,265,582,811,808,0,0,ND,0,614,874,893,0,0,ND,2227,636,959,996,0,0,ND,0,648,885,976,0,0,ND,ND
20370,Santa Catarina Tayata,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,1114,305,159,221,0,0,ND,1505,364,189,327,0,0,ND,0,354,204,306,0,0,ND,0,361,214,312,0,0,ND,ND
20371,Santa Catarina Ticuá,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,324,157,217,0,0,ND,0,318,205,292,0,0,ND,0,342,200,270,0,0,ND,0,371,244,364,0,0,ND,ND
20372,Santa Catarina Yosonotú,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,501,419,542,0,0,ND,0,530,395,542,0,0,ND,0,525,441,616,0,0,ND,0,512,471,704,0,0,ND,ND
20373,Santa Catarina Zapoquila,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,179,101,118,0,0,ND,59,183,102,129,0,0,ND,0,185,96,128,0,0,ND,0,192,121,176,0,0,ND,ND
20374,Santa Cruz Acatepec,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,233,190,249,0,0,ND,0,240,187,252,0,0,ND,0,244,196,254,0,0,ND,0,252,195,247,0,0,ND,ND
20375,Santa Cruz Amilpas,ND,ND,ND,0,0,0,409,ND,ND,ND,0,0,ND,0,2842,3338,4155,0,0,ND,1999,2968,4060,5231,0,0,ND,398,3117,4167,5307,0,0,ND,0,3364,4377,5827,0,0,ND,ND
20376,Santa Cruz de Bravo,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,222,180,147,190,0,0,ND,0,180,137,193,0,0,ND,0,180,141,192,0,0,ND,0,184,146,207,0,0,ND,ND
20377,Santa Cruz Itundujia,ND,ND,ND,0,0,0,310,ND,ND,ND,0,0,ND,3933,1490,1545,2002,0,0,ND,0,1872,1259,1711,0,0,ND,0,1902,1388,1823,0,0,ND,304,2119,1659,2248,0,0,ND,ND
20378,Santa Cruz Mixtepec,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,634,696,777,0,0,ND,152,652,741,894,0,0,ND,0,662,787,987,0,0,ND,0,705,814,1030,0,0,ND,ND
20379,Santa Cruz Nundaco,ND,ND,ND,0,0,0,123,ND,ND,ND,0,0,ND,411,724,445,551,0,0,ND,833,798,418,516,0,0,ND,0,814,470,573,0,0,ND,1333,857,467,584,0,0,ND,ND
20380,Santa Cruz Papalutla,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,548,542,623,0,0,ND,0,563,521,611,0,0,ND,0,577,562,672,0,0,ND,0,602,625,834,0,0,ND,ND
20381,Santa Cruz Tacache de Mina,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,910,1212,1448,0,0,ND,170,930,1234,1551,0,0,ND,0,968,1277,1624,0,0,ND,0,956,1302,1752,0,0,ND,ND
20382,Santa Cruz Tacahua,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,791,223,103,142,0,0,ND,775,236,121,168,0,0,ND,0,241,138,200,0,0,ND,0,258,166,252,0,0,ND,ND
20383,Santa Cruz Tayata,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,1022,181,102,108,0,0,ND,0,189,116,135,0,0,ND,0,198,139,175,0,0,ND,0,205,130,155,0,0,ND,ND
20384,Santa Cruz Xitla,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,1069,948,1019,0,0,ND,999,1110,983,1110,0,0,ND,0,1130,916,1069,0,0,ND,0,1150,1079,1275,0,0,ND,ND
20385,Santa Cruz Xoxocotlán,ND,ND,ND,0,0,0,2116,ND,ND,ND,0,0,ND,198,27980,35375,44660,0,0,ND,2078,24465,35767,48923,0,0,ND,1109,26126,41323,55704,0,0,ND,987,27470,42048,58920,0,0,ND,ND
20386,Santa Cruz Zenzontepec,ND,ND,ND,0,0,0,19400,ND,ND,ND,0,0,ND,32410,3204,1210,1298,0,0,ND,10717,3259,1389,1547,0,0,ND,3374,3327,1582,1805,0,0,ND,929,3469,1869,2250,0,0,ND,ND
20387,Santa Gertrudis,ND,ND,ND,0,0,0,448,ND,ND,ND,0,0,ND,0,1054,1647,1448,0,0,ND,0,1082,1596,1736,0,0,ND,0,1113,1619,1759,0,0,ND,0,1141,1623,1848,0,0,ND,ND
20388,Santa Inés del Monte,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,414,199,252,0,0,ND,544,422,224,297,0,0,ND,0,490,236,316,0,0,ND,0,494,246,327,0,0,ND,ND
20389,Santa Inés Yatzeche,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,280,319,392,0,0,ND,0,277,326,412,0,0,ND,0,284,371,470,0,0,ND,0,287,362,437,0,0,ND,ND
20390,Santa Lucía del Camino,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,871,13248,24661,38457,0,0,ND,283,13883,28221,46831,0,0,ND,0,14037,27326,42175,0,0,ND,0,14395,29302,46848,0,0,ND,ND
20391,Santa Lucía Miahuatlán,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,7793,542,302,440,0,0,ND,4727,620,343,502,0,0,ND,0,638,307,431,0,0,ND,0,664,397,586,0,0,ND,ND
20392,Santa Lucía Monteverde,ND,ND,ND,0,0,0,4179,ND,ND,ND,0,0,ND,5078,1480,886,1200,0,0,ND,3276,1531,896,1265,0,0,ND,1281,1515,966,1371,0,0,ND,2004,1582,1161,1550,0,0,ND,ND
20393,Santa Lucía Ocotlán,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,890,839,938,0,0,ND,0,912,869,1025,0,0,ND,0,934,915,1077,0,0,ND,0,983,823,1051,0,0,ND,ND
20394,Santa María Alotepec,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,686,435,509,0,0,ND,110,682,495,612,0,0,ND,0,710,579,751,0,0,ND,0,705,586,844,0,0,ND,ND
20395,Santa María Apazco,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,489,420,545,0,0,ND,235,498,399,522,0,0,ND,0,505,413,525,0,0,ND,318,502,412,546,0,0,ND,ND
20396,Santa María la Asunción,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,0,630,530,615,0,0,ND,0,657,543,679,0,0,ND,0,681,556,696,0,0,ND,940,702,575,731,0,0,ND,ND
20397,Heroica Ciudad de Tlaxiaco,ND,ND,ND,0,1,ND,0,ND,ND,ND,0,1,ND,6055,11168,13928,20917,0,1,ND,1330,11858,14095,22174,0,1,ND,2270,12329,14624,21826,0,1,ND,10410,12921,15141,23256,0,1,ND,ND
20398,Ayoquezco de Aldama,ND,ND,ND,0,0,0,0,ND,ND,ND,0,0,ND,288,1724,1819,2085,0,0,ND,0,1778,1823,2319,0,0,ND,308,1817,1946,2486,0,0,ND,395,1885,2331,3033,0,0,ND,ND
